ID,Tên món ăn menu,Tên món ăn đề xuất,Nguyên vật liệu chính 1,Nguyên vật liệu phụ 1,Nguyên vật liệu phụ 2,Nguyên vật liệu phụ 3,Nguyên vật liệu phụ 4,Nguyên vật liệu phụ 5,Nguyên vật liệu phụ 6,Nguyên vật liệu phụ 7,Nguyên vật liệu phụ 8,Ghi chú,Is Test,Parent items,Ghi chú (1),Is Test (1),Parent items (1),Parent items (1) (1),Parent items (1) (1) (1),Parent items (1) (1) (1) (1),Trường 7,Trường 8,Trường 9,Trường 10,Trường 11,Trường 12,Trường 13,Trường 14,Trường 15,Trường 16,Trường 17,Trường 18
13109,Cá mèo chiên,Cá mèo chiên,Cá mèo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13110,Canh cà chua trứng,Canh cà chua trứng,Cà chua,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13111,Bò hầm tiêu xanh,Bò hầm tiêu xanh,Bò nạm,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13112,Canh cải xanh nấu mọc,Canh cải xanh nấu mọc,Cải xanh,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13113,Canh chua thập cẩm,Canh chua thập cẩm đặc biệt,Bạc hà,Giá,Đậu bắp,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,
13114,Bún hải sản,Bún hải sản,Bún,Bò tái,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,,
13115,Bún hải sản,Bún hải sản chả cá,Bún,Cá thác lác,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,
13116,Cá chiên mắm xoài,Cá chiên mắm xoài,Cá nục size 8,Xoài xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13117,Cá chiên mắm xoài,Cá chiên mắm xoài size 10,Cá nục size 10,Xoài xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13118,Bánh canh thập cẩm,Bánh canh heo cá tôm size 60,Bánh canh,Thịt heo nạc vai,Trứng cút,Tôm thẻ size 60 con,Cá thác lác,Mọc,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,
13119,Bánh canh thập cẩm,Bánh canh thập cẩm đơn giản,Bánh canh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13120,Bánh canh thập cẩm,Bánh canh chả cút tôm size 100,Bánh canh,Thịt heo vai tươi,Chả lụa,Trứng cút,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,
13121,Bánh canh thập cẩm,Bánh canh thịt đùi heo,Bánh canh,Thịt đùi heo tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13122,Bánh canh thập cẩm,Bánh canh thịt tôm,Bánh canh,Thịt heo nạc vai,Trứng cút,Tôm thẻ size 60 con,,,,,,,,,,,,,,,,,,,,,,,,,,
13123,Bánh canh thập cẩm,Bánh canh thịt chả,Bánh canh,Thịt heo nạc vai,Chả lụa,Tôm thẻ size 60 con,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,
13124,Bánh canh thập cẩm,Bánh canh trứng chả lụa,Bánh canh,Chả lụa,Trứng cút,,,,,,,,,,,,,,,,,,,,,,,,,,,
13125,Bánh canh thập cẩm,Bánh canh heo tôm size 80,Bánh canh,Thịt heo nạc vai,Chả lụa,Trứng cút,Tôm thẻ size 80 con,,,,,,,,,,,,,,,,,,,,,,,,,
13288,Bánh canh thập cẩm,Bánh canh thập cẩm đầy đủ,Bánh canh,Tôm khô,Cua xay,Mọc,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,
13126,Bún riêu cua,Bún riêu cua,Bún nhỏ,Xương heo,Đậu hũ chiên,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,
13127,Bún riêu cua,Bún riêu cua thịt,Bún nhỏ,Thịt heo nạc vai,Chả lụa,,,,,,,,,,,,,,,,,,,,,,,,,,,
13128,Bao tử hầm tiêu xanh,Bao tử hầm tiêu xanh,Bao tử,Tiêu xanh,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13129,Bánh flan,Bánh flan,Bánh flan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13130,Cải luộc,Cải luộc,Cải ngọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13131,Cà tím sốt,Cà tím sốt,Cà tím,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13132,Cá ba sa kho tiêu,Cá ba sa kho tiêu,Cá ba sa không đầu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13133,Cá cơm rim tỏi ớt,Cá cơm rim tỏi ớt,Cá cơm khô,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13134,Canh cải thảo,Canh cải thảo,Cải thảo,Thịt xay,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13135,Cá ngừ kho dưa,Cá ngừ kho dưa,Cá ngừ lát size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13136,Bì thịt,Bì thịt,Bì heo,Thịt heo nạc vai,Thính,,,,,,,,,,,,,,,,,,,,,,,,,,,
13137,Cá ba sa kho thơm,Cá ba sa kho thơm,Cá ba sa không đầu,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13138,Bún nem cua bể bì thịt,Bún nem cua bể bì thịt,Bún nhỏ,Nem cua bể,Chả giò xốp tôm thịt,Bì heo,,,,,,,,,,,,,,,,,,,,,,,,,,
13139,Bò xào ớt chuông,Bò xào ớt chuông hành tây,Bò tái,Ớt chuông đỏ,Hành tây,,,,,,,,,,,,,,,,,,,,,,,,,,,
13140,Cá hường chiên muối ớt,Cá hường chiên muối ớt,Cá đổng lai size 8,Muối ớt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13141,Cá nục chiên sốt mắm,Cá nục chiên sốt mắm,Cá nục size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13142,Cá nục chiên sốt mắm,Cá nục chiên sốt mắm size 10,Cá nục size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13143,Bò lúc lắc,Bò lúc lắc,Bò nguyên,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13144,Cá ngừ kho thơm,Cá ngừ size 8 kho thơm,Cá ngừ lát size 8,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13145,Cá ngừ kho thơm,Cá ngừ size 10 kho thơm,Cá ngừ lát size 10,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13146,Bún bò huế,Bún bò huế,Bún bò,Bò gàu,Chả cây bò ,Bò tái,,,,,,,,,,,,,,,,,,,,,,,,,,
13147,Cải thảo xào,Cải thảo xào,Cải thảo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13148,Bún thịt luộc nem nướng,Bún thịt luộc nem nướng,Bún nhỏ,Thịt heo vai tươi,Nem nướng,,,,,,,,,,,,,,,,,,,,,,,,,,,
13149,Cá ba sa chiên sả,Cá ba sa chiên sả,Cá ba sa không đầu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13150,Cá nục kho măng,Cá nục kho măng,Cá nục bông 400-600g,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13151,Cá nục kho măng,Cá nục kho măng tôm thẻ,Cá nục bông 400-600g,Tôm thẻ size 100 con,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13152,Cá nục kho măng,Cá nục kho măng lớn,Cá nục size 10,Măng tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13153,Cá nục kho măng,Cá nục bông 400-600g kho măng,Cá nục bông 400-600g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13154,Cá cơm chay bắp mĩ xào hành,Cá cơm chay xào bắp,Cá cơm chay,Bắp mỹ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13155,Cá cơm chay nấm xào chua ngọt,Cá cơm chay xào chua ngọt,Cá cơm chay,Nấm đùi gà,Cà chua,Ớt sừng ngọt,,,,,,,,,,,,,,,,,,,,,,,,,,
13156,Cá hường chiên sả nước mắm tỏi,Cá hường chiên sả nước mắm tỏi,Cá đổng size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13271,Thịt kho cà rốt,Thịt kho cà rốt,Thịt heo vai tươi,Cà rốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13272,Trái cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13273,Chuối,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13274,Đậu hũ xào rau củ,Đậu hũ xào rau củ thập cẩm,Đậu hũ trắng,Ớt chuông đủ màu,Hành tây,Nấm đông cô,,,,,,,,,,,,,,,,,,,,,,,,,,
13275,Cá chiên sả,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13276,Sườn kho thơm,Sườn kho thơm,Sườn non tươi,Thơm gọt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13277,Rau muống xào,Rau muống xào,Rau muống,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13278,Trái cây,Trái cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13279,Bún gạo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13280,Dưa giá,Dưa giá,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13282,Củ sen xào chay,Củ sen xào chay,Củ sen tươi,Ớt chuông đủ màu,Hành tây,Nấm kim châm,,,,,,,,,,,,,,,,,,,,,,,,,,
13283,Heo quay kho chay,Heo quay chay kho dưa chua,Heo quay chay,Dưa chua,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13284,Cánh gà sốt chua ngọt,Cánh gà sốt chua ngọt,Cánh gà tươi size 8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13285,Thịt xào đậu ve,thịt xào đậu ve,Thịt heo vai tươi,Đậu ve,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13286,Đùi gà bơ tỏi,Đùi gà bơ tỏi,Đùi tỏi tươi size 6->6.5 cái,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13291,Hủ tiếu xá xíu,Hủ tiếu xá xíu,Hủ tiếu tươi,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13292,Tép rang mặn,,Tép,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13293,Cá chiên mắm sò,,Cá chim size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13294,Canh chua,,Bạc hà,Giá,Đậu bắp,Cà chua,,,,,,,,,,,,,,,,,,,,,,,,,,
13295,Phở gà,,Phở,Đùi góc tư tươi,File không da tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,
13296,Trứng kho tàu,,Trứng gà 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13297,Măng xào lá lốt,,Măng tươi,Lá lốt,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13298,Thịt kho hột vịt,,Thịt heo vai tươi,Trứng vịt 300 quả/cây,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13299,Nui sườn,,Sườn non ngon,Mọc,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13300,Chè sâm bổ lượng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13301,Cá cơm rim mè,Cá cơm rim mè,Cá cơm tươi,Mè đen,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13302,Chả lụa rim hành lá,Chả lụa rim hành,Chả lụa,Hành lá,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13303,Thịt nướng,,Thịt heo nạc vai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13304,Chả lụa rim hành,,Chả lụa,Hành lá,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13306,Mực trứng rim mắm,Mực trứng rim mắm,Mực trứng,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13307,Gỏi rau má,Gỏi rau má,Thịt heo nạc vai,Rau má,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13308,Tôm chiên,,Tôm sú size 25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13309,Bánh sữa,bánh sữa,Bánh otto,Bánh custas 96 cái/thùng,Bánh choco pie 96 cái/thùng,Sữa milo 180ml - 48 hộp/thùng,Sữa vinamilk có đường hộp 180ml (48 hộp/thùng),,,,,,,,,,,,,,,,,,,,,,,,,
13310,Cá tráo chiên,Cá tráo chiên,Cá tráo size 10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13312,Gà kho,Gà kho,Má gà tươi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
